Model,Clustering,Silhouette,NMI,ARI,Purity
CVAE,KMeans,0.020639669150114,0.0045660493084703,3.2586277382570305e-05,0.1226226226226226
PCA,KMeans,0.0036121637360804,0.0382681176104998,0.0165715492030331,0.1856856856856857
Autoencoder,KMeans,-0.0030280472710728,0.0262266079135008,0.0104791997404509,0.1519019019019019
Direct Features,KMeans,0.0028073092155179035,0.02641637934321003,0.008661413955007885,0.15165165165165165
