model,clustering,silhouette,davies_bouldin,ari
Conv-VAE,KMeans,0.19510012865066528,1.8182266510080207,-2.0644045089502337e-05
Conv-VAE,Agglomerative,0.1923326998949051,1.8357183418532244,6.646748686334592e-05
Conv-VAE,DBSCAN,,,
